Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,245.0,246.35000610351562,241.47000122070312,243.49000549316406,236.4114990234375,4063600
2019-01-03,243.47999572753906,243.47999572753906,236.1300048828125,236.85000610351562,229.96449279785156,4623200
2019-01-04,239.8000030517578,243.4600067138672,238.8000030517578,239.6199951171875,232.65399169921875,5367600
2019-01-07,240.39999389648438,241.97999572753906,238.22999572753906,240.0800018310547,233.10061645507812,4133000
2019-01-08,242.3300018310547,244.7899932861328,239.7100067138672,243.2899932861328,236.21726989746094,3618600
2019-01-09,244.75999450683594,246.6300048828125,242.05999755859375,243.63999938964844,236.55711364746094,3425400
2019-01-10,242.0800018310547,245.13999938964844,241.41000366210938,244.8699951171875,237.7513427734375,3374100
2019-01-11,243.4499969482422,247.75999450683594,243.27000427246094,247.6699981689453,240.46995544433594,3967100
2019-01-14,246.58999633789062,249.9199981689453,246.11000061035156,248.05999755859375,240.8486328125,4955500
2019-01-15,250.0,256.9200134277344,247.0,256.8699951171875,249.40248107910156,5325600
2019-01-16,258.7300109863281,262.19000244140625,258.1700134277344,261.4599914550781,253.85903930664062,6069400
2019-01-17,260.989990234375,261.739990234375,257.8900146484375,259.7699890136719,252.21817016601562,3583600
2019-01-18,262.6000061035156,266.260009765625,260.4200134277344,265.5,257.7816162109375,4844800
2019-01-22,264.05999755859375,267.5,263.739990234375,265.69000244140625,257.966064453125,4052700
2019-01-23,267.75,269.4700012207031,263.6700134277344,267.0199890136719,259.2574157714844,2971100
2019-01-24,266.79998779296875,268.1600036621094,264.260009765625,266.1300048828125,258.3932800292969,2927300
2019-01-25,268.79998779296875,270.4100036621094,265.70001220703125,268.04998779296875,260.2574768066406,2809100
2019-01-28,266.8999938964844,266.92999267578125,264.6099853515625,266.7699890136719,259.01470947265625,2837300
2019-01-29,266.0,268.45001220703125,265.44000244140625,267.3399963378906,259.568115234375,2173000
2019-01-30,269.69000244140625,272.44000244140625,267.19000244140625,270.3699951171875,262.5100402832031,3659000
2019-01-31,270.4800109863281,271.739990234375,268.989990234375,270.20001220703125,262.3450012207031,4055100
2019-02-01,268.4700012207031,269.3900146484375,266.0299987792969,268.7200012207031,260.9080505371094,3946800
2019-02-04,268.30999755859375,268.69000244140625,264.2699890136719,268.2099914550781,260.412841796875,3398900
2019-02-05,270.1199951171875,272.0899963378906,265.8399963378906,266.30999755859375,258.5680236816406,3597000
2019-02-06,265.1400146484375,269.92999267578125,264.9800109863281,269.5,261.6653137207031,2570000
2019-02-07,268.6400146484375,270.5799865722656,267.260009765625,269.0,261.1798400878906,2458200
2019-02-08,267.5,268.70001220703125,260.32000732421875,261.8999938964844,254.28627014160156,4547000
2019-02-11,261.1700134277344,261.17999267578125,256.3399963378906,257.1400146484375,249.66468811035156,4856200
2019-02-12,259.2200012207031,264.0,256.9200134277344,263.5,255.83973693847656,4327900
2019-02-13,263.5199890136719,266.2900085449219,263.1499938964844,263.79998779296875,256.13104248046875,3066400
2019-02-14,263.239990234375,267.07000732421875,262.7099914550781,265.3299865722656,257.61651611328125,3015300
