Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,103.44000244140625,108.77999877929688,102.79000091552734,107.95999908447266,102.94198608398438,1603500
2019-01-03,106.87999725341797,107.55000305175781,104.87000274658203,105.0999984741211,100.21492767333984,1065300
2019-01-04,107.8499984741211,111.19999694824219,107.63999938964844,110.7300033569336,105.58324432373047,1031100
2019-01-07,110.0,112.33999633789062,108.7699966430664,111.23999786376953,106.06954193115234,944200
2019-01-08,112.83000183105469,112.83999633789062,109.54000091552734,111.94000244140625,106.73700714111328,806800
2019-01-09,112.48999786376953,113.7300033569336,111.1500015258789,113.0999984741211,107.84307861328125,808000
2019-01-10,112.08999633789062,114.04000091552734,111.79000091552734,113.44000244140625,108.16727447509766,747900
2019-01-11,112.25,114.0,110.5999984741211,113.44000244140625,108.16727447509766,728600
2019-01-14,111.83000183105469,114.98999786376953,111.51000213623047,114.04000091552734,108.73938751220703,1076000
2019-01-15,113.6500015258789,115.25,112.52999877929688,115.18000030517578,109.82640838623047,671600
2019-01-16,116.4000015258789,119.26000213623047,115.63999938964844,118.26000213623047,112.76325225830078,1044000
2019-01-17,117.06999969482422,119.55000305175781,115.55999755859375,118.58999633789062,113.0779037475586,872500
2019-01-18,120.25,121.9800033569336,118.73999786376953,121.11000061035156,115.48078155517578,928100
2019-01-22,119.88999938964844,120.19999694824219,118.37999725341797,119.27999877929688,113.73583221435547,1198600
2019-01-23,120.05999755859375,120.37999725341797,117.16999816894531,118.80999755859375,113.28768157958984,588700
2019-01-24,118.36000061035156,120.91999816894531,118.30000305175781,119.77999877929688,114.21259307861328,882900
2019-01-25,121.41000366210938,122.25,120.77999877929688,121.12000274658203,115.49031829833984,793400
2019-01-28,120.4000015258789,121.87000274658203,119.77999877929688,121.79000091552734,116.1291732788086,1042000
2019-01-29,121.5999984741211,122.48999786376953,120.83000183105469,121.37999725341797,115.73822021484375,786200
2019-01-30,121.7300033569336,121.7300033569336,117.08999633789062,120.18000030517578,114.59400939941406,1553200
2019-01-31,121.55000305175781,127.16999816894531,121.55000305175781,126.5999984741211,120.7155990600586,1985000
2019-02-01,127.23999786376953,128.00999450683594,126.08999633789062,126.88999938964844,120.99212646484375,1689200
2019-02-04,127.05999755859375,127.58999633789062,126.5999984741211,127.08999633789062,121.18281555175781,896000
2019-02-05,127.16000366210938,127.38999938964844,124.69999694824219,125.66999816894531,119.82881927490234,938600
2019-02-06,124.68000030517578,127.58000183105469,124.68000030517578,126.69000244140625,120.8014144897461,872300
2019-02-07,125.91999816894531,127.08000183105469,122.83999633789062,125.22000122070312,119.39974212646484,852100
2019-02-08,124.12000274658203,125.61000061035156,122.0199966430664,125.56999969482422,119.73347473144531,1167500
2019-02-11,126.11000061035156,126.87999725341797,124.93000030517578,125.94999694824219,120.09580993652344,974700
2019-02-12,127.23999786376953,129.85000610351562,127.23999786376953,128.8300018310547,122.84194946289062,1169600
2019-02-13,129.69000244140625,131.19000244140625,128.77999877929688,129.8000030517578,123.76686096191406,790300
2019-02-14,127.9000015258789,128.3800048828125,125.81999969482422,127.16000366210938,122.0961685180664,837300
2019-02-15,128.44000244140625,130.69000244140625,128.05999755859375,130.67999267578125,125.47596740722656,706100
2019-02-19,129.55999755859375,132.49000549316406,128.19000244140625,131.9600067138672,126.70500183105469,909200
2019-02-20,131.66000366210938,133.02999877929688,131.13999938964844,132.88999938964844,127.59794616699219,941900
2019-02-21,133.24000549316406,133.24000549316406,130.92999267578125,131.69000244140625,126.44575500488281,736300
2019-02-22,132.35000610351562,135.0500030517578,131.72000122070312,134.88999938964844,129.51832580566406,1004500
2019-02-25,135.58999633789062,136.00999450683594,131.82000732421875,131.94000244140625,126.68580627441406,1423000
2019-02-26,130.7899932861328,132.97999572753906,130.10000610351562,131.0,125.78324890136719,783100
2019-02-27,130.77000427246094,132.4199981689453,130.3300018310547,131.8699951171875,126.61857604980469,843600
2019-02-28,131.91000366210938,132.35000610351562,130.94000244140625,131.6300048828125,126.38815307617188,976000
2019-03-01,133.1199951171875,134.3699951171875,130.88999938964844,132.17999267578125,126.9162368774414,927000
2019-03-04,132.8000030517578,133.9600067138672,129.4199981689453,130.58999633789062,125.38955688476562,767400
2019-03-05,130.66000366210938,130.7100067138672,128.6999969482422,130.1300048828125,124.94788360595703,863300
2019-03-06,130.5399932861328,130.75999450683594,127.6500015258789,127.86000061035156,122.76828002929688,605300
2019-03-07,127.1500015258789,127.1500015258789,123.7300033569336,124.91000366210938,119.93576049804688,812300
2019-03-08,123.48999786376953,124.44000244140625,122.66000366210938,124.3499984741211,119.3980484008789,997700
2019-03-11,124.76000213623047,125.37999725341797,124.01000213623047,124.36000061035156,119.40766143798828,1228300
2019-03-12,124.48999786376953,125.63999938964844,123.87000274658203,124.61000061035156,119.64769744873047,1099900
2019-03-13,125.61000061035156,125.73999786376953,124.2699966430664,124.86000061035156,119.88774871826172,1172400
2019-03-14,124.91999816894531,125.54000091552734,124.5999984741211,125.06999969482422,120.08939361572266,1294100
2019-03-15,125.38999938964844,129.07000732421875,124.95999908447266,129.0500030517578,123.91089630126953,2875000
2019-03-18,129.72999572753906,131.4499969482422,129.4199981689453,130.36000061035156,125.16871643066406,1241500
2019-03-19,131.27000427246094,131.86000061035156,128.52000427246094,128.8699951171875,123.73805236816406,763300
2019-03-20,128.52000427246094,131.63999938964844,127.91999816894531,129.1300048828125,123.98770904541016,1394300
2019-03-21,128.25999450683594,130.17999267578125,127.12000274658203,129.5500030517578,124.3909683227539,1071600
2019-03-22,128.24000549316406,128.42999267578125,123.06999969482422,124.12999725341797,119.18680572509766,1237300
2019-03-25,124.0,125.55999755859375,122.76000213623047,123.80000305175781,118.86996459960938,744400
2019-03-26,125.52999877929688,126.31999969482422,124.41000366210938,125.87000274658203,120.85753631591797,666700
2019-03-27,125.87000274658203,126.83000183105469,124.79000091552734,125.58999633789062,120.58866882324219,828800
2019-03-28,125.98999786376953,127.33000183105469,125.41000366210938,126.98999786376953,121.93292999267578,903400
2019-03-29,128.4499969482422,129.4499969482422,127.72000122070312,128.10000610351562,122.99872589111328,846700
2019-04-01,129.58999633789062,132.88999938964844,129.5800018310547,132.67999267578125,127.39633178710938,961900
2019-04-02,136.5,138.0800018310547,135.19000244140625,136.1199951171875,130.69932556152344,1578200
2019-04-03,137.6300048828125,138.49000549316406,135.8800048828125,136.55999755859375,131.121826171875,833400
2019-04-04,136.5800018310547,138.27000427246094,136.5800018310547,137.27999877929688,131.8131561279297,440600
2019-04-05,137.97999572753906,138.6699981689453,137.10000610351562,137.94000244140625,132.4468536376953,662400
2019-04-08,137.64999389648438,138.58999633789062,136.83999633789062,138.5399932861328,133.02296447753906,500000
2019-04-09,137.9199981689453,138.0500030517578,135.82000732421875,136.47000122070312,131.03541564941406,584500
2019-04-10,136.9499969482422,138.9199981689453,136.2899932861328,138.5399932861328,133.02296447753906,544300
2019-04-11,139.16000366210938,140.7100067138672,138.94000244140625,139.64999389648438,134.0887451171875,512800
2019-04-12,141.91000366210938,144.08999633789062,141.0500030517578,142.5399932861328,136.86366271972656,885400
2019-04-15,142.32000732421875,143.08999633789062,140.69000244140625,141.27000427246094,135.64427185058594,692800
2019-04-16,141.77000427246094,144.0800018310547,141.6199951171875,144.07000732421875,138.33274841308594,719000
2019-04-17,144.4499969482422,144.75999450683594,142.4499969482422,143.25,137.54541015625,681900
2019-04-18,142.9499969482422,143.91000366210938,141.8000030517578,143.27000427246094,137.56460571289062,1019900
2019-04-22,143.4199981689453,143.6199951171875,142.3800048828125,143.11000061035156,137.41098022460938,479300
2019-04-23,143.30999755859375,145.77000427246094,142.32000732421875,144.85000610351562,139.0817108154297,845000
2019-04-24,144.1300048828125,145.14999389648438,143.92999267578125,144.0,138.2655487060547,1126600
2019-04-25,143.49000549316406,146.77000427246094,143.49000549316406,145.05999755859375,139.28330993652344,1197100
2019-04-26,145.41000366210938,146.77999877929688,144.3800048828125,146.6300048828125,140.79080200195312,812700
2019-04-29,147.32000732421875,148.8300018310547,146.4499969482422,147.72000122070312,141.83738708496094,612000
2019-04-30,148.11000061035156,148.22999572753906,144.97000122070312,146.77000427246094,140.9252471923828,1423600
2019-05-01,146.88999938964844,148.24000549316406,146.13999938964844,146.60000610351562,140.7620086669922,1139700
2019-05-02,146.14999389648438,148.14999389648438,145.1999969482422,147.3699951171875,141.50135803222656,942600
